2025-05-12 08:34:05.247 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-12 11:19:38.435 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 13:07:21.676 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 15:53:05.104 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 16:10:46.645 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 16:27:19.926 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 17:19:22.026 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 20:11:18.178 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 20:55:25.647 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-12 22:13:44.241 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-15 01:22:55.329 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-15 09:48:55.872 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-15 12:49:52.217 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-05-15 15:55:25.301 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
