ASSET   , TIME               , POSITION, REFERENCE RSI    , COMPARED RSI      , REFERENCE VALUE, COMPARED VALUE
XRPUSDT , 2025-05-12 14:00:00, SHORT   , 61.75905117599254, 58.60328515353529 , 2.3998         , 2.403
XRPUSDT , 2025-05-12 14:00:02, SHORT   , 61.75905117599254, 58.760506739697504, 2.3998         , 2.3999
XRPUSDT , 2025-05-12 14:15:00, SHORT   , 61.756279371681  , 58.60078195094694 , 2.3998         , 2.403
XRPUSDT , 2025-05-12 14:15:02, SHORT   , 61.756279371681  , 58.75802251552041 , 2.3998         , 2.3999
ADAUSDT , 2025-05-12 15:01:10, SHORT   , 62.64105256851412, 62.22538579078562 , 0.8218         , 0.8227
ADAUSDT , 2025-05-12 15:01:26, SHORT   , 62.64105256851412, 61.08504654918975 , 0.8218         , 0.8224
SEIUSDT , 2025-05-12 15:01:42, SHORT   , 61.85969075534288, 61.01564296839841 , 0.2651         , 0.2653
IMXUSDT , 2025-05-12 15:01:57, SHORT   , 70.10255046655942, 66.61454746434448 , 0.742          , 0.744
DOTUSDT , 2025-05-13 01:53:16, SHORT   , 37.60973799463113, 39.19324565781037 , 5.082          , 5.06
PEPEUSDT, 2025-05-13 01:53:32, SHORT   , 33.85760710167584, 36.47317814046642 , 1.376e-05      , 1.362e-05
PEPEUSDT, 2025-05-13 01:53:47, SHORT   , 33.85760710167584, 35.19414814276486 , 1.376e-05      , 1.374e-05
INJUSDT , 2025-05-13 02:10:57, SHORT   , 35.70365602061733, 40.31979178730588 , 13.24          , 13.16
ARUSDT  , 2025-05-13 02:11:13, SHORT   , 38.82424953343195, 45.06828462781068 , 8.1            , 8.09
SNXUSDT , 2025-05-13 02:27:30, SHORT   , 36.51799531499254, 37.65404759923766 , 0.87           , 0.866
